widget_id,label,type,page,rect
topmostSubform[0].Page3[0].c3_2[0],"I represent that the corporation is adopting, retaining,",CheckBox,2,"173,194,181,202"
topmostSubform[0].Page3[0].c3_3[0],I represent that shareholders (as described in section,CheckBox,2,"166,254,174,262"
topmostSubform[0].Page3[0].c3_4[0],"if the fiscal year entered in item F,",CheckBox,2,"132,386,140,394"
topmostSubform[0].Page3[0].c3_5[0],Yes No,CheckBox,2,"59,446,67,454"
topmostSubform[0].Page3[0].c3_5[1],No,CheckBox,2,"102,446,110,454"
topmostSubform[0].Page3[0].c3_6[0],to show that the corporation intends to make,CheckBox,2,"132,470,140,478"
topmostSubform[0].Page3[0].c3_7[0],to show that the corporation agrees to adopt,CheckBox,2,"132,506,140,514"
topmostSubform[0].Page3[0].c3_8[0],"to show that the corporation will make, if",CheckBox,2,"132,579,140,587"
topmostSubform[0].Page3[0].c3_9[0],to show that the corporation agrees to adopt,CheckBox,2,"132,626,140,634"
topmostSubform[0].Page4[0].f4_01[0],Name Employer,Text,3,"36,58,425,72"
topmostSubform[0].Page4[0].f4_02[0],Qualified Subchapter S Trust (QSST) Election Under Section 1361(d)(2)*,Text,3,"425,58,576,72"
topmostSubform[0].Page4[0].f4_03[0],Income beneficiary’s name and address Social security,Text,3,"36,106,382,144"
topmostSubform[0].Page4[0].f4_04[0],Social security number,Text,3,"382,106,576,144"
topmostSubform[0].Page4[0].f4_05[0],Trust’s name and address Employer,Text,3,"36,154,382,192"
topmostSubform[0].Page4[0].f4_06[0],Employer identification number,Text,3,"382,154,576,192"
topmostSubform[0].Page4[0].f4_07[0],year) . . . . . . . . ▶,Text,3,"497,192,576,204"
